# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  9 21:35:53 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN disc_facility:  Discovery Facility
# COLUMN st_spectype:    Spectral Type
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
loc_rowid,pl_name,hostname,default_flag,disc_facility,st_spectype,st_lum,sy_bmag,sy_vmag
33,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,W. M. Keck Observatory,M3.5 V,-1.720,15.7060000,14.2440000
34,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Cerro Tololo Inter-American Observatory,M6,-2.230,18.5490000,
35,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Hubble Space Telescope,M8.5,,,
36,2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,Paranal Observatory,,-2.561,,
37,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Paranal Observatory,M8,,,
38,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,Kepler,,,12.1120000,12.6510000
39,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,W. M. Keck Observatory,M8.5,-3.480,,
40,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,W. M. Keck Observatory,K7 V,,13.7310000,12.3680000
41,30 Ari B b,30 Ari B,0,Thueringer Landessternwarte Tautenburg,,,7.4580000,7.0920900
42,30 Ari B b,30 Ari B,0,Thueringer Landessternwarte Tautenburg,F6 V,,7.4580000,7.0920900
43,30 Ari B b,30 Ari B,1,Thueringer Landessternwarte Tautenburg,,,7.4580000,7.0920900
44,4 UMa b,4 UMa,1,Thueringer Landessternwarte Tautenburg,K1 III,,5.7700000,4.5801000
45,42 Dra b,42 Dra,1,Thueringer Landessternwarte Tautenburg,K1.5 III,,6.0050000,4.8262000
46,47 UMa b,47 UMa,0,Lick Observatory,G1 V,,5.6460000,5.0335200
47,47 UMa b,47 UMa,0,Lick Observatory,,,5.6460000,5.0335200
48,47 UMa b,47 UMa,1,Lick Observatory,,0.198,5.6460000,5.0335200
49,47 UMa b,47 UMa,0,Lick Observatory,,,5.6460000,5.0335200
50,47 UMa b,47 UMa,0,Lick Observatory,G0 V,,5.6460000,5.0335200
51,47 UMa c,47 UMa,0,Lick Observatory,G1 V,,5.6460000,5.0335200
52,47 UMa c,47 UMa,0,Lick Observatory,,,5.6460000,5.0335200
53,47 UMa c,47 UMa,1,Lick Observatory,,0.198,5.6460000,5.0335200
54,47 UMa d,47 UMa,1,Lick Observatory,,0.198,5.6460000,5.0335200
55,47 UMa d,47 UMa,0,Lick Observatory,,,5.6460000,5.0335200
56,51 Eri b,51 Eri,0,Gemini Observatory,,0.752,5.4860000,5.2114900
57,51 Eri b,51 Eri,1,Gemini Observatory,F0 IV,0.850,5.4860000,5.2114900
58,51 Eri b,51 Eri,0,Gemini Observatory,,0.752,5.4860000,5.2114900
59,51 Peg b,51 Peg,0,Haute-Provence Observatory,,,6.1040000,5.4530900
60,51 Peg b,51 Peg,1,Haute-Provence Observatory,,0.136,6.1040000,5.4530900
61,51 Peg b,51 Peg,0,Haute-Provence Observatory,,,6.1040000,5.4530900
62,51 Peg b,51 Peg,0,Haute-Provence Observatory,,,6.1040000,5.4530900
63,51 Peg b,51 Peg,0,Haute-Provence Observatory,,,6.1040000,5.4530900
64,55 Cnc b,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
65,55 Cnc b,55 Cnc,0,Lick Observatory,K0 IV-V,,6.8160000,5.9508400
66,55 Cnc b,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
67,55 Cnc b,55 Cnc,1,Lick Observatory,,,6.8160000,5.9508400
68,55 Cnc b,55 Cnc,0,Lick Observatory,G8 V,,6.8160000,5.9508400
69,55 Cnc b,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
70,55 Cnc b,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
71,55 Cnc b,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
72,55 Cnc b,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
73,55 Cnc b,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
74,55 Cnc b,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
75,55 Cnc b,55 Cnc,0,Lick Observatory,G8 V,,6.8160000,5.9508400
76,55 Cnc c,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
77,55 Cnc c,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
78,55 Cnc c,55 Cnc,1,McDonald Observatory,,,6.8160000,5.9508400
79,55 Cnc c,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
80,55 Cnc c,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
81,55 Cnc c,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
82,55 Cnc c,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
83,55 Cnc c,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
84,55 Cnc d,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
85,55 Cnc d,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
86,55 Cnc d,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
87,55 Cnc d,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
88,55 Cnc d,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
89,55 Cnc d,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
90,55 Cnc d,55 Cnc,1,Lick Observatory,,,6.8160000,5.9508400
91,55 Cnc d,55 Cnc,0,Lick Observatory,,-0.197,6.8160000,5.9508400
92,55 Cnc d,55 Cnc,0,Lick Observatory,G8 V,,6.8160000,5.9508400
93,55 Cnc d,55 Cnc,0,Lick Observatory,,,6.8160000,5.9508400
94,55 Cnc e,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
95,55 Cnc e,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
96,55 Cnc e,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
97,55 Cnc e,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
98,55 Cnc e,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
99,55 Cnc e,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
100,55 Cnc e,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
101,55 Cnc e,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
102,55 Cnc e,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
103,55 Cnc e,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
104,55 Cnc e,55 Cnc,1,McDonald Observatory,,,6.8160000,5.9508400
105,55 Cnc e,55 Cnc,0,McDonald Observatory,,-0.197,6.8160000,5.9508400
106,55 Cnc e,55 Cnc,0,McDonald Observatory,,,6.8160000,5.9508400
107,55 Cnc e,55 Cnc,0,McDonald Observatory,G8 V,,6.8160000,5.9508400
108,55 Cnc f,55 Cnc,0,Multiple Observatories,,,6.8160000,5.9508400
109,55 Cnc f,55 Cnc,0,Multiple Observatories,,-0.197,6.8160000,5.9508400
110,55 Cnc f,55 Cnc,0,Multiple Observatories,,,6.8160000,5.9508400
111,55 Cnc f,55 Cnc,1,Multiple Observatories,,,6.8160000,5.9508400
112,55 Cnc f,55 Cnc,0,Multiple Observatories,,-0.197,6.8160000,5.9508400
113,55 Cnc f,55 Cnc,0,Multiple Observatories,,-0.197,6.8160000,5.9508400
114,55 Cnc f,55 Cnc,0,Multiple Observatories,,-0.197,6.8160000,5.9508400
115,6 Lyn b,6 Lyn,1,Okayama Astrophysical Observatory,,,6.7960000,5.8730700
116,6 Lyn b,6 Lyn,0,Okayama Astrophysical Observatory,,,6.7960000,5.8730700
117,6 Lyn b,6 Lyn,0,Okayama Astrophysical Observatory,K0 IV,1.176,6.7960000,5.8730700
118,61 Vir b,61 Vir,0,Multiple Observatories,,,0.0720000,4.6955000
119,61 Vir b,61 Vir,1,Multiple Observatories,G5 V,-0.095,0.0720000,4.6955000
120,61 Vir c,61 Vir,1,Multiple Observatories,G5 V,-0.095,0.0720000,4.6955000
121,61 Vir c,61 Vir,0,Multiple Observatories,,,0.0720000,4.6955000
122,61 Vir d,61 Vir,1,Multiple Observatories,G5 V,-0.095,0.0720000,4.6955000
123,7 CMa b,7 CMa,0,Anglo-Australian Telescope,,,5.0130000,3.9500000
124,7 CMa b,7 CMa,1,Anglo-Australian Telescope,,1.063,5.0130000,3.9500000
125,7 CMa b,7 CMa,0,Anglo-Australian Telescope,K1 III,1.053,5.0130000,3.9500000
126,7 CMa c,7 CMa,1,Multiple Observatories,,1.063,5.0130000,3.9500000
127,70 Vir b,70 Vir,1,Lick Observatory,,,5.6780000,4.9680800
128,70 Vir b,70 Vir,0,Lick Observatory,,,5.6780000,4.9680800
129,70 Vir b,70 Vir,0,Lick Observatory,,0.451,5.6780000,4.9680800
130,70 Vir b,70 Vir,0,Lick Observatory,,,5.6780000,4.9680800
131,70 Vir b,70 Vir,0,Lick Observatory,,,5.6780000,4.9680800
132,70 Vir b,70 Vir,0,Lick Observatory,,,5.6780000,4.9680800
133,75 Cet b,75 Cet,1,Okayama Astrophysical Observatory,G3 III,1.730,6.3660000,5.3532000
134,8 UMi b,8 UMi,0,Bohyunsan Optical Astronomical Observatory,K0,,7.8340000,6.8329500
135,8 UMi b,8 UMi,1,Bohyunsan Optical Astronomical Observatory,,,7.8340000,6.8329500
136,81 Cet b,81 Cet,0,Okayama Astrophysical Observatory,,,6.6750000,5.6430700
137,81 Cet b,81 Cet,1,Okayama Astrophysical Observatory,G5 III,1.778,6.6750000,5.6430700
138,91 Aqr b,91 Aqr,1,Lick Observatory,K0 III,,5.3500000,4.2394600
139,AB Pic b,AB Pic,1,Paranal Observatory,K2 V,,10.1480000,9.1300000
140,AU Mic b,AU Mic,1,Transiting Exoplanet Survey Satellite (TESS),,,10.2090000,8.8100000
141,AU Mic b,AU Mic,0,Transiting Exoplanet Survey Satellite (TESS),,-1.046,10.2090000,8.8100000
142,AU Mic c,AU Mic,1,Transiting Exoplanet Survey Satellite (TESS),,,10.2090000,8.8100000
143,BD+03 2562 b,BD+03 2562,1,Multiple Observatories,,2.700,10.7950000,9.5770000
144,BD+14 4559 b,BD+14 4559,0,McDonald Observatory,K2 V,-0.320,10.5810000,9.7800000
145,BD+14 4559 b,BD+14 4559,1,McDonald Observatory,,,10.5810000,9.7800000
146,BD+15 2375 b,BD+15 2375,1,Roque de los Muchachos Observatory,,1.570,11.3870000,10.4100000
147,BD+15 2940 b,BD+15 2940,1,McDonald Observatory,K0,2.010,10.1210000,9.0100000
148,BD+20 2457 b,BD+20 2457,0,McDonald Observatory,K2 II,3.170,10.9890000,9.7430000
149,BD+20 2457 b,BD+20 2457,1,McDonald Observatory,,,10.9890000,9.7430000
150,BD+20 2457 c,BD+20 2457,1,McDonald Observatory,K2 II,3.170,10.9890000,9.7430000
151,BD+20 274 b,BD+20 274,1,McDonald Observatory,K5 III,1.960,10.7200000,9.3670000
152,BD+20 594 b,BD+20 594,1,K2,,,11.7650000,10.8490000
153,BD+20 594 b,BD+20 594,0,K2,,,11.7650000,10.8490000
154,BD+20 594 b,BD+20 594,0,K2,G,-0.056,11.7650000,10.8490000
155,BD+45 564 b,BD+45 564,1,Haute-Provence Observatory,K1,,10.5360000,9.6700000
156,BD+48 738 b,BD+48 738,1,McDonald Observatory,K0 III,1.690,10.3520000,9.1390000
157,BD+48 740 b,BD+48 740,1,Multiple Observatories,,1.640,10.5100000,8.6900000
158,BD+49 828 b,BD+49 828,1,McDonald Observatory,K0,1.470,10.5080000,9.3810000
159,BD+55 362 b,BD+55 362,1,Haute-Provence Observatory,K3,,10.2990000,9.3800000
160,BD+63 1405 b,BD+63 1405,1,Haute-Provence Observatory,K0,,9.8300000,8.9600000
161,BD-00 4475 b,BD-00 4475,1,Haute-Provence Observatory,G0,,9.9140000,9.0100000
162,BD-06 1339 b,BD-06 1339,1,La Silla Observatory,K7/M0 V,-1.022,10.9720000,9.7000000
163,BD-06 1339 c,BD-06 1339,1,La Silla Observatory,K7/M0 V,-1.022,10.9720000,9.7000000
164,BD-08 2823 b,BD-08 2823,0,La Silla Observatory,K3 V,,10.8800000,9.8600000
165,BD-08 2823 b,BD-08 2823,1,La Silla Observatory,,,10.8800000,9.8600000
166,BD-08 2823 c,BD-08 2823,1,La Silla Observatory,K3 V,,10.8800000,9.8600000
167,BD-10 3166 b,BD-10 3166,0,W. M. Keck Observatory,K0 V,,10.8780000,10.0130000
168,BD-10 3166 b,BD-10 3166,0,W. M. Keck Observatory,,,10.8780000,10.0130000
169,BD-10 3166 b,BD-10 3166,0,W. M. Keck Observatory,,,10.8780000,10.0130000
170,BD-10 3166 b,BD-10 3166,1,W. M. Keck Observatory,,,10.8780000,10.0130000
171,BD-11 4672 b,BD-11 4672,0,La Silla Observatory,K7 V,,11.2430000,10.0300000
172,BD-11 4672 b,BD-11 4672,1,La Silla Observatory,,-0.804,11.2430000,10.0300000
173,BD-11 4672 c,BD-11 4672,1,Roque de los Muchachos Observatory,,-0.804,11.2430000,10.0300000
174,BD-13 2130 b,BD-13 2130,1,La Silla Observatory,,,11.3130000,10.0380000
175,BD-13 2130 b,BD-13 2130,0,La Silla Observatory,,,11.3130000,10.0380000
176,BD-17 63 b,BD-17 63,1,La Silla Observatory,K5 V,-0.678,10.6770000,9.6200000
177,BD-17 63 b,BD-17 63,0,La Silla Observatory,,,10.6770000,9.6200000
178,CD Cet b,CD Cet,1,Calar Alto Observatory,M5.0 V,-2.533,,13.9500000
179,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,W. M. Keck Observatory,,,,
180,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Hubble Space Telescope,M9-L1,-2.850,,
181,CHXR 73 b,CHXR 73,1,Hubble Space Telescope,M3.5,,,
182,CI Tau b,CI Tau,1,Multiple Observatories,K7,-0.108,15.5600000,13.6420000
183,COCONUTS-2 b,COCONUTS-2 A,1,NASA Infrared Telescope Facility (IRTF),M3 V,-1.732,12.9830000,11.2980000
184,CT Cha b,CT Cha,1,Paranal Observatory,,,13.7990000,12.3350000
185,CoRoT-1 b,CoRoT-1,0,CoRoT,,,14.1580000,13.6230000
186,CoRoT-1 b,CoRoT-1,0,CoRoT,,,14.1580000,13.6230000
187,CoRoT-1 b,CoRoT-1,0,CoRoT,,,14.1580000,13.6230000
188,CoRoT-1 b,CoRoT-1,1,CoRoT,G0 V,,14.1580000,13.6230000
189,CoRoT-1 b,CoRoT-1,0,CoRoT,,,14.1580000,13.6230000
190,CoRoT-10 b,CoRoT-10,1,CoRoT,K1 V,,17.3440000,15.2930000
191,CoRoT-10 b,CoRoT-10,0,CoRoT,,,17.3440000,15.2930000
192,CoRoT-10 b,CoRoT-10,0,CoRoT,,,17.3440000,15.2930000
193,CoRoT-11 b,CoRoT-11,0,CoRoT,,,13.5290000,12.8970000
194,CoRoT-11 b,CoRoT-11,1,CoRoT,F6 V,,13.5290000,12.8970000
195,CoRoT-11 b,CoRoT-11,0,CoRoT,,,13.5290000,12.8970000
196,CoRoT-11 b,CoRoT-11,0,CoRoT,,,13.5290000,12.8970000
197,CoRoT-11 b,CoRoT-11,0,CoRoT,,,13.5290000,12.8970000
198,CoRoT-12 b,CoRoT-12,0,CoRoT,,,16.4080000,15.5880000
199,CoRoT-12 b,CoRoT-12,1,CoRoT,,,16.4080000,15.5880000
200,CoRoT-12 b,CoRoT-12,0,CoRoT,,,16.4080000,15.5880000
201,CoRoT-12 b,CoRoT-12,0,CoRoT,,0.070,16.4080000,15.5880000
202,CoRoT-13 b,CoRoT-13,1,CoRoT,G0 V,,15.2100000,15.0050000
203,CoRoT-13 b,CoRoT-13,0,CoRoT,,,15.2100000,15.0050000
204,CoRoT-13 b,CoRoT-13,0,CoRoT,,,15.2100000,15.0050000
205,CoRoT-14 b,CoRoT-14,1,CoRoT,F9 V,,17.0110000,15.9320000
206,CoRoT-14 b,CoRoT-14,0,CoRoT,,,17.0110000,15.9320000
207,CoRoT-14 b,CoRoT-14,0,CoRoT,,,17.0110000,15.9320000
208,CoRoT-16 b,CoRoT-16,0,CoRoT,,,17.4170000,16.0520000
209,CoRoT-16 b,CoRoT-16,1,CoRoT,G5 V,,17.4170000,16.0520000
210,CoRoT-17 b,CoRoT-17,1,CoRoT,G2 V,,17.5900000,16.2900000
211,CoRoT-17 b,CoRoT-17,0,CoRoT,,,17.5900000,16.2900000
212,CoRoT-17 b,CoRoT-17,0,CoRoT,,,17.5900000,16.2900000
213,CoRoT-18 b,CoRoT-18,0,CoRoT,,,15.7510000,14.8680000
214,CoRoT-18 b,CoRoT-18,1,CoRoT,G9 V,,15.7510000,14.8680000
215,CoRoT-18 b,CoRoT-18,0,CoRoT,,-0.170,15.7510000,14.8680000
216,CoRoT-18 b,CoRoT-18,0,CoRoT,,,15.7510000,14.8680000
217,CoRoT-19 b,CoRoT-19,0,CoRoT,,,14.9050000,14.1350000
218,CoRoT-19 b,CoRoT-19,1,CoRoT,F9 V,0.544,14.9050000,14.1350000
219,CoRoT-19 b,CoRoT-19,0,CoRoT,,,14.9050000,14.1350000
220,CoRoT-2 b,CoRoT-2,0,CoRoT,,,13.3460000,12.5160000
221,CoRoT-2 b,CoRoT-2,0,CoRoT,,-0.131,13.3460000,12.5160000
222,CoRoT-2 b,CoRoT-2,0,CoRoT,,,13.3460000,12.5160000
223,CoRoT-2 b,CoRoT-2,0,CoRoT,,,13.3460000,12.5160000
224,CoRoT-2 b,CoRoT-2,0,CoRoT,,,13.3460000,12.5160000
225,CoRoT-2 b,CoRoT-2,0,CoRoT,,,13.3460000,12.5160000
226,CoRoT-2 b,CoRoT-2,1,CoRoT,,,13.3460000,12.5160000
227,CoRoT-2 b,CoRoT-2,0,CoRoT,,,13.3460000,12.5160000
228,CoRoT-20 b,CoRoT-20,0,CoRoT,,0.170,15.6130000,14.6300000
229,CoRoT-20 b,CoRoT-20,0,CoRoT,,,15.6130000,14.6300000
230,CoRoT-20 b,CoRoT-20,1,CoRoT,,,15.6130000,14.6300000
231,CoRoT-20 b,CoRoT-20,0,CoRoT,,,15.6130000,14.6300000
232,CoRoT-20 b,CoRoT-20,0,CoRoT,G2 V,,15.6130000,14.6300000
233,CoRoT-20 c,CoRoT-20,1,Multiple Observatories,,,15.6130000,14.6300000
234,CoRoT-21 b,CoRoT-21,0,CoRoT,,,16.6630000,16.0580000
235,CoRoT-21 b,CoRoT-21,1,CoRoT,F8 IV,,16.6630000,16.0580000
236,CoRoT-22 b,CoRoT-22,1,CoRoT,G3 V,,14.7400000,13.8200000
237,CoRoT-23 b,CoRoT-23,0,CoRoT,,,16.7270000,15.6750000
238,CoRoT-23 b,CoRoT-23,0,CoRoT,,,16.7270000,15.6750000
239,CoRoT-23 b,CoRoT-23,1,CoRoT,G0 V,,16.7270000,15.6750000
240,CoRoT-24 b,CoRoT-24,1,CoRoT,K1 V,,16.5930000,15.3830000
241,CoRoT-24 c,CoRoT-24,1,CoRoT,K1 V,,16.5930000,15.3830000
242,CoRoT-25 b,CoRoT-25,0,CoRoT,,,15.8960000,14.7900000
243,CoRoT-25 b,CoRoT-25,1,CoRoT,F9,,15.8960000,14.7900000
244,CoRoT-26 b,CoRoT-26,0,CoRoT,,,17.5950000,15.8610000
245,CoRoT-26 b,CoRoT-26,1,CoRoT,G5,,17.5950000,15.8610000
246,CoRoT-27 b,CoRoT-27,1,CoRoT,G2,,17.1170000,15.7740000
247,CoRoT-27 b,CoRoT-27,0,CoRoT,,,17.1170000,15.7740000
248,CoRoT-28 b,CoRoT-28,0,CoRoT,,,15.0140000,13.7830000
249,CoRoT-28 b,CoRoT-28,1,CoRoT,G8/9 IV,,15.0140000,13.7830000
250,CoRoT-29 b,CoRoT-29,1,CoRoT,K0 V,,16.5880000,15.4080000
251,CoRoT-29 b,CoRoT-29,0,CoRoT,,-0.094,16.5880000,15.4080000
252,CoRoT-29 b,CoRoT-29,0,CoRoT,,,16.5880000,15.4080000
253,CoRoT-3 b,CoRoT-3,0,CoRoT,,,14.1180000,13.4480000
254,CoRoT-3 b,CoRoT-3,0,CoRoT,,,14.1180000,13.4480000
255,CoRoT-3 b,CoRoT-3,0,CoRoT,,,14.1180000,13.4480000
256,CoRoT-3 b,CoRoT-3,1,CoRoT,F3 V,,14.1180000,13.4480000
257,CoRoT-3 b,CoRoT-3,0,CoRoT,,,14.1180000,13.4480000
258,CoRoT-30 b,CoRoT-30,1,CoRoT,G3 V,,16.6700000,15.5710000
259,CoRoT-31 b,CoRoT-31,1,CoRoT,G2 IV,,16.7220000,15.4790000
260,CoRoT-4 b,CoRoT-4,1,CoRoT,,,14.2720000,13.6520000
261,CoRoT-4 b,CoRoT-4,0,CoRoT,,,14.2720000,13.6520000
262,CoRoT-4 b,CoRoT-4,0,CoRoT,,,14.2720000,13.6520000
263,CoRoT-5 b,CoRoT-5,1,CoRoT,F9 V,,14.6100000,14.0430000
264,CoRoT-5 b,CoRoT-5,0,CoRoT,,0.180,14.6100000,14.0430000
265,CoRoT-5 b,CoRoT-5,0,CoRoT,,,14.6100000,14.0430000
266,CoRoT-5 b,CoRoT-5,0,CoRoT,,,14.6100000,14.0430000
267,CoRoT-6 b,CoRoT-6,1,CoRoT,F9 V,,14.6910000,13.9610000
268,CoRoT-6 b,CoRoT-6,0,CoRoT,,,14.6910000,13.9610000
269,CoRoT-6 b,CoRoT-6,0,CoRoT,,,14.6910000,13.9610000
270,CoRoT-7 b,CoRoT-7,1,CoRoT,,,12.7840000,11.7280000
271,CoRoT-7 b,CoRoT-7,0,CoRoT,,,12.7840000,11.7280000
272,CoRoT-7 b,CoRoT-7,0,CoRoT,,,12.7840000,11.7280000
273,CoRoT-7 b,CoRoT-7,0,CoRoT,,-0.289,12.7840000,11.7280000
274,CoRoT-7 b,CoRoT-7,0,CoRoT,,,12.7840000,11.7280000
275,CoRoT-7 b,CoRoT-7,0,CoRoT,,-0.289,12.7840000,11.7280000
276,CoRoT-7 b,CoRoT-7,0,CoRoT,G9 V,,12.7840000,11.7280000
277,CoRoT-7 c,CoRoT-7,0,CoRoT,,-0.289,12.7840000,11.7280000
278,CoRoT-7 c,CoRoT-7,1,CoRoT,,-0.289,12.7840000,11.7280000
279,CoRoT-8 b,CoRoT-8,0,CoRoT,,,16.0050000,14.7920000
280,CoRoT-8 b,CoRoT-8,0,CoRoT,,,16.0050000,14.7920000
281,CoRoT-8 b,CoRoT-8,1,CoRoT,K1 V,,16.0050000,14.7920000
282,CoRoT-8 b,CoRoT-8,0,CoRoT,,-0.400,16.0050000,14.7920000
283,CoRoT-9 b,CoRoT-9,0,CoRoT,,,14.5580000,13.6370000
284,CoRoT-9 b,CoRoT-9,0,CoRoT,,,14.5580000,13.6370000
285,CoRoT-9 b,CoRoT-9,1,CoRoT,,,14.5580000,13.6370000
286,CoRoT-9 b,CoRoT-9,0,CoRoT,G3 V,,14.5580000,13.6370000
287,CoRoTID 223977153 b,CoRoTID 223977153,1,CoRoT,G0 VI,-0.155,14.4030000,13.6260000
288,DE CVn b,DE CVn,1,Multiple Facilities,,,14.2270000,12.9560000
289,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,Paranal Observatory,L1.5,,,
290,DH Tau b,DH Tau,1,Subaru Telescope,M0.5,,15.5420000,13.9800000
291,DH Tau b,DH Tau,0,Subaru Telescope,,-0.212,15.5420000,13.9800000
292,DMPP-1 b,DMPP-1,1,La Silla Observatory,F8 V,,8.5380000,7.9800000
